iteration	score	total_return_pct	max_dd_pct	dd_violated	wr_violated	total_trades	win_rate	sharpe	pf	delta	status	description
342	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BULL_TRAILING_ATR_MULT 0.5->2.0
343	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BULL_TRAILING_ATR_MULT 0.5->0.3
344	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BEAR_WEIGHT_TREND 0.15->0.2
345	0.44	0.63	29.96	False	False	118	40.68	1.6936	0.5669	0.01	BELOW_THRESHOLD	DAILY_LOSS_CIRCUIT_PCT -1.0->-1.5
346	0.72	1.03	29.94	False	False	77	36.36	1.4711	0.4934	0.29	BELOW_THRESHOLD	BULL_COMPOSITE_THRESHOLD 0.35->0.5
347	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BEAR_MAX_HOLD_BARS 432->576
348	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	REGIME_PARTICLE_WEIGHT 0.1->0.05
349	0.4	0.57	29.96	False	False	122	40.98	1.705	0.5691	-0.03	DISCARD	BULL_WEIGHT_BB 0.05->0.1
350	0.45	0.64	29.95	False	False	118	40.68	1.6628	0.5487	0.02	BELOW_THRESHOLD	BEAR_TP_ATR_MULT 2.0->8.0
351	0.43	0.61	29.96	False	False	119	41.18	1.7005	0.5936	0.0	DISCARD	VOLUME_DRY_THRESHOLD 0.7->0.6
352	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	ADAPTIVE_TP_COUNTER_TREND_SCALE 1.0->0.8
353	0.46	0.66	29.95	False	False	117	39.32	1.6489	0.6082	0.03	BELOW_THRESHOLD	BB_STD 1.5->2.2
354	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	NLP_SENTIMENT_BOOST 0.15->0.1
355	-2.1	-3.1	32.25	False	False	188	40.96	2.5912	0.6689	-2.53	DISCARD	DAILY_TREND_BOOST 0.05->0.25
356	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	VOL_EXTREME_SIZE_SCALE 0.5->0.25
357	0.52	0.75	29.94	False	False	119	39.5	1.5864	0.5901	0.09	BELOW_THRESHOLD	CONFIDENCE_HIGH_THRESHOLD 0.5->0.6
358	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_RISK_MULT 0.5->0.4
359	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BREAKOUT_ENTRY_ENABLED True->False
360	0.41	0.59	29.97	False	False	121	39.67	1.7272	0.536	-0.02	DISCARD	BEAR_RSI_OVERBOUGHT 75->65
361	0.3	0.43	29.98	False	False	136	38.24	1.7952	0.5652	-0.13	DISCARD	DAILY_ATR_VOL_ADJUST 0.05->0.08
362	0.02	0.04	36.39	False	False	128	42.97	2.1234	0.7317	-0.41	DISCARD	REGIME_PRICE_VS_200_WEIGHT 0.5->0.3
363	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SEQ_MACRO_REJECT_THRESHOLD -0.4->-0.5
364	-0.97	-1.78	45.64	False	False	157	38.22	2.3042	0.5155	-1.4	DISCARD	BEAR_COMPOSITE_THRESHOLD 0.4->0.25
365	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RISKOFF_STOP_TIGHTEN_MULT 0.8->1.0
366	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_VOL_DECREASE_SCALE 0.85->0.7
367	0.32	0.51	37.56	False	False	126	38.1	1.9539	0.5055	-0.11	DISCARD	BULL_WEIGHT_VIX 0.1->0.15
368	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	ADAPTIVE_STOP_VIX_PANIC_SCALE 0.7->0.8
369	-1.55	-3.06	49.25	False	False	227	38.77	3.7554	0.6376	-1.98	DISCARD	SMA_SLOW 30->50
370	0.47	0.65	27.31	False	False	111	39.64	1.8984	0.591	0.04	BELOW_THRESHOLD	BEAR_RSI_OVERSOLD 40->25
371	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RIP_SELL_RSI_THRESHOLD 65->70
372	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_TRAILING_START_R 0.5->2.0
373	0.12	0.2	41.05	False	False	119	40.34	2.1312	0.5532	-0.31	DISCARD	BULL_RISK_MULT 0.4->0.8
374	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BULL_DEFENSIVE_TP_ATR 3.0->2.0
375	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	MOMENTUM_RSI_EXTREME 75->70
376	0.05	0.08	37.69	False	False	156	39.1	2.0619	0.5507	-0.38	DISCARD	BULL_WEIGHT_MOMENTUM 0.13->0.2
377	0.54	0.8	33.09	False	False	103	41.75	1.7828	0.94	0.11	BELOW_THRESHOLD	RSI_PERIOD 10->21
378	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	DXY_STRONG_SHORT_BOOST 0.15->0.0
379	0.42	0.61	30.73	False	False	112	39.29	1.8497	0.56	-0.01	DISCARD	STOP_TIGHTEN_ATR_MULT 1.2->2.0
380	0.37	0.52	29.98	False	False	126	38.89	1.7954	0.5258	-0.06	DISCARD	BB_PERIOD 25->10
381	0.52	0.72	27.29	False	False	109	41.28	1.7918	0.6647	0.09	BELOW_THRESHOLD	RSI_PERIOD 10->14
