timestamp,direction,magnitude,h_used,bar_index
2025-02-21 18:05:00,DOWN,0.009714565203131006,0.003,4
2025-03-07 15:40:00,DOWN,0.06788803986137253,0.003,5
2025-03-28 20:10:00,DOWN,0.023461738726855422,0.003,6
2025-04-06 23:30:00,DOWN,0.13976194237515874,0.003,7
2025-04-07 01:25:00,UP,0.018134570195482678,0.003,8
2025-04-07 13:20:00,DOWN,0.005218344928936356,0.003,9
2025-04-07 13:25:00,DOWN,0.003956483895074369,0.003,10
2025-04-14 15:30:00,UP,0.09720045445691876,0.003,11
2025-04-14 16:00:00,DOWN,0.008433540413425844,0.003,13
2025-04-21 19:50:00,DOWN,0.042748668205161024,0.003,14
2025-04-29 14:05:00,UP,0.07308105605439663,0.003,15
2025-05-02 14:00:00,UP,0.02052602938425533,0.003,16
2025-05-19 11:00:00,UP,0.04247352255872814,0.003,17
2025-05-22 18:15:00,DOWN,0.003305788134499544,0.003,18
2025-06-11 15:25:00,UP,0.029607023286825348,0.003,19
2025-06-23 14:25:00,DOWN,0.012657117151864796,0.003,21
2025-06-23 16:30:00,DOWN,0.004936267035095711,0.003,22
2025-06-25 23:05:00,UP,0.020842940734305978,0.003,23
2025-06-26 13:45:00,UP,0.004595504501073002,0.003,24
2025-06-26 19:15:00,UP,0.003104974430381713,0.003,26
2025-06-27 12:50:00,UP,0.00305573982244612,0.003,29
2025-06-27 18:55:00,DOWN,0.0030557398224462097,0.003,30
2025-06-27 19:45:00,UP,0.0034915128312240423,0.003,34
2025-06-30 08:40:00,UP,0.005962858507265019,0.003,35
2025-07-03 02:15:00,UP,0.0053467653717583635,0.003,43
2025-07-03 13:05:00,UP,0.0034054245651287444,0.003,44
2025-07-03 14:30:00,UP,0.0035496302361489084,0.003,45
2025-07-07 14:35:00,DOWN,0.0044432391765401695,0.003,50
2025-07-07 18:15:00,DOWN,0.004698520781554146,0.003,52
2025-07-10 13:45:00,UP,0.006688726507643602,0.003,53
2025-07-15 13:40:00,UP,0.004863728192643045,0.003,56
2025-07-16 05:00:00,DOWN,0.00908512282919367,0.003,58
2025-07-16 12:50:00,UP,0.004416398634750421,0.003,60
2025-07-16 16:45:00,DOWN,0.0033593781593294157,0.003,65
2025-07-17 15:05:00,UP,0.006979538207912097,0.003,67
2025-07-18 10:40:00,UP,0.003336051815801779,0.003,70
2025-07-21 14:00:00,UP,0.006580244374328869,0.003,72
2025-07-21 19:40:00,DOWN,0.004017310718071554,0.003,78
2025-07-23 13:20:00,UP,0.006534075712867282,0.003,83
2025-07-23 19:50:00,UP,0.005471653601953862,0.003,85
2025-07-24 15:15:00,UP,0.0037205420437249233,0.003,90
2025-07-25 19:10:00,UP,0.0032903576381974036,0.003,93
2025-07-29 16:00:00,DOWN,0.004624064797993929,0.0042991605919518484,107
2025-07-30 20:10:00,UP,0.004897469231790819,0.002858233235858431,114
2025-07-31 08:55:00,UP,0.004835617776461419,0.001807187945929725,116
2025-07-31 13:35:00,DOWN,0.003348174949917142,0.0015,117
2025-07-31 13:45:00,DOWN,0.0016401262377883977,0.0015,118
2025-07-31 15:30:00,DOWN,0.001987008678214829,0.0015,120
2025-07-31 16:45:00,UP,0.0019488341825905577,0.0015,121
2025-07-31 17:40:00,DOWN,0.004208116385826966,0.0015,122
2025-07-31 18:00:00,DOWN,0.002149135416752425,0.0015,123
2025-07-31 18:45:00,UP,0.0024570036930520837,0.0015,125
